sno,fake,real,percentage,postag,pattern,sentence
1,4611,7612,0.605754073,  NP: {<CD><NN>}  ,  (NP million/CD drop/NN)  ,"  In the third quarter, she raised $725,000 -- a $1.3 million drop."
2,1257,1430,0.879020979,  NP: {<CD><CD>}  ,  (NP 2/CD million/CD)  ,"  In those ZIPs, roughly 10021 through 10028, Clinton raised $2 million from individuals in the second quarter."
3,4611,7612,0.605754073,  NP: {<CD><NN>}  ,  (NP million/CD drop/NN)  ,"  In the third quarter, she raised $725,000 -- a $1.3 million drop."
4,116,253,0.458498024,  NP: {<CD><NNPS>}  ,  (NP four/CD Sanders/NNPS)  ,"  Audit data from NGP-VAN and provided to The Washington Post by the Clinton campaign showed that four Sanders staffers conducted 24 separate searches of Clinton data during a 40-minute window Wednesday, targeting early voting states and searching for lists of voters most and least likely to support Clinton."
5,4764,7802,0.610612663,  NP: {<CD><NNS>}  ,  (NP 217/CD votes/NNS)  ,"  Maloney and other Democrats told CNN that once the vote board showed the measure had 217 votes -- enough to pass with just eight seconds left in the vote -- McCarthy personally approached House GOP members to switch their ""yes"" votes to ""no"" as the presiding officer kept the vote open for several minutes past the standard five-minute period."
6,4764,7802,0.610612663,  NP: {<CD><NNS>}  ,  (NP 217/CD votes/NNS)  ,"  Maloney and other Democrats told CNN that once the vote board showed the measure had 217 votes -- enough to pass with just eight seconds left in the vote -- McCarthy personally approached House GOP members to switch their ""yes"" votes to ""no"" as the presiding officer kept the vote open for several minutes past the standard five-minute period."
7,2213,3800,0.582368421,  NP: {<DT><CD>}  ,  (NP the/DT two/CD)  ,"  In the third quarter, the two were about tied."
8,38571,51722,0.745736824,  NP: {<DT><JJ>}  ,  (NP the/DT third/JJ)  ,  Something interesting happened for Hillary Clinton in the third quarter of fundraising
9,1279,1816,0.704295154,  NP: {<DT><JJS>}  ,  (NP The/DT densest/JJS)  ,  (The densest area of circles below is Manhattan; you can also see the outline of Long Island to New York City's east.)
10,66768,96686,0.690565335,  NP: {<DT><NN>}  ,  (NP a/DT lot/NN)  ,"  During the second quarter, Clinton outraised Bernie Sanders handily, thanks to a lot of big-dollar donors."
11,24755,29481,0.839693362,  NP: {<DT><NNP>}  ,  (NP those/DT ZIPs/NNP)  ,"  In those ZIPs, roughly 10021 through 10028, Clinton raised $2 million from individuals in the second quarter."
12,949,908,1.045154185,  NP: {<DT><NNPS>}  ,  (NP the/DT Veterans/NNPS)  ,  The clash began over a yearly spending bill to fund military construction projects and the Veterans Administration.
13,12140,15730,0.771773681,  NP: {<DT><NNS>}  ,  (NP Those/DT areas/NNS)  ,  Those areas subsequently have fewer donors to hit up.
14,1939,2523,0.768529528,  NP: {<DT><RB>}  ,  (NP a/DT visibly/RB)  ,"  We won this vote,"" a visibly irate Maloney told reporters."
15,1202,1668,0.720623501,  NP: {<DT><VBG>}  ,  (NP the/DT presiding/VBG)  ,"  Maloney and other Democrats told CNN that once the vote board showed the measure had 217 votes -- enough to pass with just eight seconds left in the vote -- McCarthy personally approached House GOP members to switch their ""yes"" votes to ""no"" as the presiding officer kept the vote open for several minutes past the standard five-minute period."
16,677,800,0.84625,  NP: {<DT><VBN>}  ,  (NP a/DT written/VBN)  ,"  So far, only Poliquin has responded about why he decided to vote no for the measure after originally registering support for it, defending his vote in a written statement to CNN."
17,69,40,1.725,  NP: {<FW><FW>}  ,  (NP de/FW minims/FW)  ,"  But if Sanders falls just short of a majority, it's negligible - ""de minims,"" Devine said - and the campaign will pitch super delegates that Sanders is the stronger general election candidate."
18,165,206,0.800970874,  NP: {<FW><NNP>}  ,  (NP ”/FW Rubio/NNP)  ,"  “There are people, I know, who like this stuff because he says what they want to be able to say, [but] presidents can’t say whatever they want to say,” Rubio told the students, mentioning the harm to America’s reputation that Trump has already done."
19,5848,10076,0.580389043,  NP: {<IN><CD>}  ,"  (NP about/IN 5,300/CD)  ","  In the second quarter, Clinton received donations from about 5,300 ZIP codes."
20,22266,27007,0.82445292,  NP: {<IN><NN>}  ,  (NP of/IN fundraising/NN)  ,  Something interesting happened for Hillary Clinton in the third quarter of fundraising
21,53019,70993,0.746820109,  NP: {<JJ><NN>}  ,  (NP third/JJ quarter/NN)  ,  Something interesting happened for Hillary Clinton in the third quarter of fundraising
22,8991,10689,0.841145102,  NP: {<JJ><NNP>}  ,  (NP lucrative/JJ New/NNP)  ,  But you might also have noticed how much better Sanders is doing in the lucrative New York market.
23,460,1205,0.381742739,  NP: {<JJ><NNPS>}  ,  (NP several/JJ Republicans/NNPS)  ,"  The amendment had enough votes to pass but the vote was held open, and several Republicans changed their position just before the vote was officially closed."
24,24409,32059,0.76137746,  NP: {<JJ><NNS>}  ,  (NP big-dollar/JJ donors/NNS)  ,"  During the second quarter, Clinton outraised Bernie Sanders handily, thanks to a lot of big-dollar donors."
25,371,654,0.567278287,  NP: {<JJR><JJ>}  ,  (NP more/JJR unknown/JJ)  ,"  In those early hours and early days, there was more unknown than known."
26,595,1091,0.545371219,  NP: {<JJR><NNS>}  ,  (NP more/JJR contributions/NNS)  ,  He got a lot more contributions from outlying ZIP codes.
27,483,724,0.667127072,  NP: {<JJS><NNS>}  ,  (NP biggest/JJS foes/NNS)  ,"  On health care, Cruz has been one of the biggest foes of the federal Affordable Care Act."
28,238125,320917,0.74201429,  NP: {<NN>}  ,  (NP quarter/NN)  ,  Something interesting happened for Hillary Clinton in the third quarter of fundraising
29,2287,2893,0.790528863,  NP: {<NN><JJ>}  ,  (NP vote/NN open/JJ)  ,"  Maloney and other Democrats told CNN that once the vote board showed the measure had 217 votes -- enough to pass with just eight seconds left in the vote -- McCarthy personally approached House GOP members to switch their ""yes"" votes to ""no"" as the presiding officer kept the vote open for several minutes past the standard five-minute period."
30,21221,28444,0.746062438,  NP: {<NN><NN>}  ,  (NP spending/NN bill/NN)  ,  The clash began over a yearly spending bill to fund military construction projects and the Veterans Administration.
31,6964,7934,0.877741366,  NP: {<NN><NNP>}  ,  (NP decrease/NN Clinton/NNP)  ,"  Sanders also saw an increase in how much he raised, versus the decrease Clinton experienced."
32,10960,15066,0.727465817,  NP: {<NN><NNS>}  ,  (NP fundraising/NN centers/NNS)  ,  Something interesting happened for Hillary Clinton in the third quarter of fundraising
33,367,2474,0.148342765,  NP: {<NN><POS>}  ,  (NP leadership/NN 's/POS)  ,  Roughly a dozen Republicans approached Maloney as the vote was extended and told him they disagreed with their own leadership's tactics to work to defeat the measure.
34,4997,6703,0.745487095,  NP: {<NN><RB>}  ,  (NP position/NN just/RB)  ,"  The amendment had enough votes to pass but the vote was held open, and several Republicans changed their position just before the vote was officially closed."
35,193443,242759,0.796852022,  NP: {<NNP>}  ,  (NP Hillary/NNP)  ,  Something interesting happened for Hillary Clinton in the third quarter of fundraising
