id,label
4309,REAL
3735,REAL
7644,FAKE
1243,REAL
8719,FAKE
1928,REAL
9006,FAKE
10386,FAKE
642,REAL
1442,REAL
660,REAL
480,FAKE
5164,REAL
5904,FAKE
10342,FAKE
629,REAL
8743,FAKE
7969,FAKE
4575,REAL
557,REAL
470,FAKE
10290,FAKE
2491,REAL
5318,FAKE
10049,FAKE
9938,FAKE
6146,FAKE
7632,FAKE
6502,FAKE
6181,FAKE
5534,FAKE
7231,FAKE
7269,FAKE
2165,REAL
4846,REAL
6848,FAKE
7198,FAKE
8050,FAKE
2659,REAL
3199,REAL
2986,REAL
8313,REAL
9395,FAKE
5744,FAKE
3298,REAL
10202,FAKE
9252,FAKE
10319,FAKE
4153,REAL
5042,FAKE
2927,REAL
10249,FAKE
3875,REAL
4346,REAL
5647,FAKE
8349,FAKE
555,REAL
3292,REAL
5571,FAKE
7045,REAL
9897,REAL
3588,REAL
10399,FAKE
3515,REAL
1572,REAL
5669,FAKE
8251,FAKE
8875,FAKE
9373,FAKE
4640,REAL
5558,FAKE
2903,REAL
6747,FAKE
9686,FAKE
9087,FAKE
2209,REAL
422,FAKE
1956,REAL
2474,REAL
8072,REAL
149,REAL
4074,REAL
1873,REAL
8629,REAL
4171,REAL
565,REAL
6202,FAKE
3734,FAKE
1999,REAL
1851,REAL
1682,FAKE
7826,FAKE
8570,FAKE
1365,REAL
26,REAL
10332,FAKE
5958,REAL
2038,REAL
10264,FAKE
6081,FAKE
2767,REAL
6332,FAKE
8002,REAL
8451,FAKE
6185,FAKE
5269,REAL
2271,REAL
2013,REAL
1308,REAL
9988,FAKE
4611,REAL
1651,REAL
774,REAL
9881,FAKE
7068,FAKE
542,FAKE
6439,FAKE
6229,FAKE
3075,REAL
5782,FAKE
6427,FAKE
2563,REAL
5069,REAL
1031,REAL
8841,FAKE
7767,FAKE
6070,FAKE
4253,REAL
2865,REAL
4766,REAL
434,REAL
5907,FAKE
2254,REAL
4968,FAKE
4781,REAL
6925,FAKE
9420,FAKE
4472,REAL
436,REAL
4731,REAL
8138,FAKE
669,REAL
8279,FAKE
3621,REAL
857,REAL
25,REAL
1249,REAL
3293,FAKE
649,REAL
4503,REAL
1330,REAL
8348,FAKE
8686,FAKE
4319,REAL
3490,REAL
939,REAL
10464,FAKE
5196,REAL
890,REAL
3609,REAL
2584,REAL
2155,REAL
8269,FAKE
4282,REAL
913,REAL
3362,REAL
133,REAL
5713,FAKE
3014,REAL
9015,FAKE
1128,REAL
8998,FAKE
4513,REAL
9912,FAKE
4387,REAL
9602,FAKE
8040,FAKE
2734,FAKE
3332,FAKE
1941,REAL
6182,FAKE
7766,FAKE
3392,REAL
9460,FAKE
4241,REAL
6011,FAKE
2388,FAKE
1477,REAL
6719,FAKE
10196,FAKE
3931,FAKE
9526,FAKE
391,REAL
9246,FAKE
9820,FAKE
7888,FAKE
5129,REAL
5518,FAKE
7987,FAKE
9285,FAKE
8412,FAKE
3080,REAL
9678,FAKE
5764,FAKE
8418,FAKE
7920,REAL
9677,FAKE
7123,FAKE
2112,REAL
1350,REAL
3647,REAL
7575,FAKE
1142,REAL
6889,FAKE
10455,FAKE
848,REAL
3503,REAL
8789,FAKE
6395,FAKE
6163,FAKE
8115,FAKE
5013,REAL
9837,FAKE
4063,REAL
922,REAL
5255,REAL
2476,REAL
8602,FAKE
3672,REAL
3011,REAL
5996,FAKE
8750,FAKE
7476,FAKE
5276,REAL
4313,REAL
2571,REAL
4951,REAL
1879,REAL
5729,FAKE
6952,FAKE
8003,FAKE
7235,FAKE
4004,REAL
5577,FAKE
2168,REAL
6568,FAKE
285,REAL
1016,REAL
9083,FAKE
4755,REAL
9049,FAKE
8315,FAKE
3439,REAL
3241,REAL
295,REAL
9522,FAKE
4301,REAL
2490,REAL
7142,FAKE
2743,REAL
5966,FAKE
9591,FAKE
120,REAL
10197,FAKE
4998,REAL
9108,FAKE
4956,REAL
2981,REAL
2206,REAL
2501,REAL
2433,REAL
1482,REAL
6772,FAKE
3483,REAL
2739,REAL
2235,REAL
4939,REAL
1412,REAL
920,REAL
5515,FAKE
5096,REAL
6716,FAKE
10475,REAL
1408,REAL
6342,FAKE
8111,FAKE
380,REAL
1513,REAL
2804,FAKE
2185,REAL
4001,REAL
9502,FAKE
9981,FAKE
9904,FAKE
4495,REAL
9069,FAKE
6556,FAKE
2274,REAL
9455,REAL
3724,REAL
420,REAL
3604,FAKE
3747,REAL
9661,FAKE
6281,FAKE
2730,REAL
3390,REAL
7569,FAKE
6338,FAKE
4510,REAL
3654,REAL
7088,FAKE
3903,REAL
9365,FAKE
59,REAL
3395,REAL
3207,REAL
5540,FAKE
839,REAL
5841,FAKE
2487,REAL
6262,REAL
5675,FAKE
4135,REAL
7543,FAKE
1209,FAKE
7536,FAKE
9124,FAKE
575,REAL
4232,REAL
5702,FAKE
1040,REAL
1191,REAL
7659,FAKE
3446,REAL
1639,REAL
556,FAKE
2670,REAL
2318,REAL
9220,FAKE
3149,REAL
5257,REAL
9161,FAKE
9149,REAL
1856,REAL
3543,REAL
7257,FAKE
8291,FAKE
9349,FAKE
4017,REAL
8967,FAKE
6144,FAKE
8603,FAKE
220,REAL
7851,FAKE
5090,REAL
3725,REAL
9451,FAKE
8807,FAKE
2666,REAL
3172,REAL
782,REAL
1317,REAL
5756,FAKE
8897,FAKE
8022,FAKE
4238,REAL
2886,REAL
2348,REAL
3753,REAL
6232,FAKE
7149,FAKE
6668,FAKE
5873,FAKE
3383,REAL
10553,FAKE
574,FAKE
10112,FAKE
5950,FAKE
2667,REAL
39,REAL
4612,REAL
6292,FAKE
3169,REAL
7682,FAKE
4969,REAL
2630,REAL
7679,FAKE
6779,FAKE
6869,FAKE
9445,FAKE
4295,REAL
374,REAL
10182,FAKE
4345,REAL
9792,FAKE
2224,REAL
4008,REAL
4897,REAL
398,REAL
7035,FAKE
9323,FAKE
7176,FAKE
474,REAL
2379,REAL
1160,REAL
6710,FAKE
4753,REAL
9045,FAKE
1824,REAL
9922,FAKE
8793,FAKE
1234,REAL
1256,REAL
7974,FAKE
6898,FAKE
9091,FAKE
8308,FAKE
7539,FAKE
243,REAL
7496,FAKE
4624,REAL
2520,REAL
9298,FAKE
2391,REAL
7301,FAKE
7250,REAL
10477,REAL
4926,REAL
8008,FAKE
3244,REAL
9436,FAKE
9106,FAKE
7887,FAKE
7120,FAKE
7978,FAKE
2827,REAL
8529,FAKE
8126,FAKE
3511,REAL
1788,REAL
2940,REAL
7683,FAKE
4420,REAL
8991,FAKE
6922,FAKE
3122,REAL
2101,REAL
88,REAL
5409,FAKE
5376,FAKE
319,FAKE
3068,REAL
3028,FAKE
6099,FAKE
6088,FAKE
3732,REAL
9627,FAKE
7358,FAKE
2718,REAL
8580,FAKE
4801,REAL
8365,REAL
8361,FAKE
3531,REAL
7923,FAKE
9208,FAKE
630,REAL
1971,REAL
4444,REAL
9599,FAKE
2984,REAL
